Employee_ID;Name;Age;Department;City;Salary;Experience_Years;Performance_Rating
EMP0001;Simran Sharma;34;Sales;Delhi;57013;6.9;4
EMP0002;Ananya Agarwal;46;Finance;Delhi;98245;7.4;1
EMP0003;Vikram Bansal;32;Data Science;Jaipur;48178;9.0;4
EMP0004;Kavya Gupta;47;IT;Hyderabad;89877;2.6;3
EMP0005;Isha Patel;35;Operations;Pune;87625;9.2;1
EMP0006;Simran Sharma;28;Finance;Pune;69696;8.0;2
EMP0007;Sneha Agarwal;38;Sales;Jaipur;91600;1.0;5
EMP0008;Sneha Mishra;37;Finance;Pune;84115;3.6;1
EMP0009;Pooja Gupta;47;HR;Mumbai;99924;13.9;1
EMP0010;Rohan Kapoor;39;Marketing;Bengaluru;44800;14.5;1
EMP0011;Meera Patel;46;Finance;Chandigarh;86784;14.6;4
EMP0012;Vikram Agarwal;29;Finance;Bengaluru;45660;4.0;3
EMP0013;Rahul Agarwal;41;Operations;Bengaluru;53080;7.2;3
EMP0014;Sneha Kapoor;28;Data Science;Delhi;73470;13.5;2
EMP0015;Aditya Gupta;35;Sales;Bengaluru;81195;13.8;4
EMP0016;Vikram Bansal;37;Marketing;Kolkata;108919;7.5;2
EMP0017;Pooja Agarwal;35;Sales;Bengaluru;85107;8.1;3
EMP0018;Riya Kapoor;36;IT;Bengaluru;103232;6.6;4
EMP0019;Vivaan Mishra;21;Sales;Mumbai;36628;5.2;2
EMP0020;Arjun Shah;35;Operations;Kolkata;48258;6.9;4
EMP0021;Aditi Reddy;35;Marketing;Hyderabad;90063;6.3;5
EMP0022;Aditi Patel;44;Finance;Chandigarh;111148;0.5;2
EMP0023;Simran Shah;47;IT;Kolkata;33264;12.1;3
EMP0024;Kavya Mishra;48;Finance;Hyderabad;41671;0.7;5
EMP0025;Arjun Mishra;30;Finance;Kolkata;48517;5.4;4
EMP0026;Karan Mehta;26;Data Science;Pune;85934;3.1;1
EMP0027;Priya Reddy;35;Operations;Jaipur;88670;10.0;5
EMP0028;Karan Gupta;40;Marketing;Mumbai;112217;11.7;1
