Employee_ID,Name,Age,Gender,City,Department,Salary,Experience_Years,Joining_Date,Education,Employment_Type,Employment_Status,Product,Quantity,Sales_Amount,Discount_Percent,Remote_Work,Performance_Rating
EMP0001,Aarav Sharma,28.0,Female,Hyderabad,HR,31556.0,5.0,2026-04-26 00:00:00,Graduate,Full-time,Resigned,Laptop,1,6240.0,13.0,Yes,Excellent
EMP0002,Vivaan Verma,56.0,Female,Hyderabad,Data Analytics,77124.0,19.0,2026-01-11 00:00:00,Diploma,Full-time,Inactive,Keyboard,7,22398.0,17.0,Yes,Good
EMP0003,  Aditya Singh ,42.0,Female,Mumbai,Operations,51793.0,12.0,2019-01-15 00:00:00,High School,Contract,Active,Keyboard,8,35242.0,7.0,No,Excellent
EMP0004,Arjun Mehta,,Female,Amritsar,HR,101854.0,3.0,2025-01-18 00:00:00,Graduate,Part-time,On Leave,Laptop,4,6719.0,24.0,No,Poor
EMP0005,Rohan Gupta,44.0,Female,Hyderabad,IT,67638.0,3.0,2022-02-25 00:00:00,High School,Part-time,Inactive,Phone,8,24967.0,17.0,Yes,Average
EMP0006,Rahul Kapoor,24.0,Female,KOLKATA,IT,85043.0,3.0,2018-05-12 00:00:00,Post Graduate,Contract,Inactive,Keyboard,8,26028.0,29.0,Yes,Average
EMP0007,Karan Malhotra,29.0,Female,Amritsar,Customer Support,89651.0,19.0,2026-05-10 00:00:00,12th,Contract,Inactive,Phone,9,32443.0,5.0,Yes,Excellent
EMP0008,Vikram Bhatia,30.0,Female,,Marketing,66938.0,13.0,2025-08-19 00:00:00,12th,Intern,On Leave,Headphones,1,44683.0,7.0,No,Average
EMP0009,Ankit Arora,28.0,M,Jaipur,Sales,101939.0,9.0,2022-11-16 00:00:00,High School,Part-time,Active,Software License,5,41974.0,32.0,Yes,Good
EMP0010,Nikhil Khanna,44.0,Male,Amritsar,operations,67349.0,16.0,2024-01-19 00:00:00,Graduate,Full-time,On Leave,Software License,5,15792.0,3.0,Yes,Excellent
EMP0006,Rajiv Sethi,26.0,Male,Bangalore,Data Analytics,152399.0,18.0,2018-10-11 00:00:00,Post Graduate,Contract,Resigned,Phone,9,49597.0,12.0,No,Poor
EMP0012,Siddharth Jain,44.0,Female,Mumbai,HR,139845.0,8.0,2023-10-21 00:00:00,Graduate,Contract,Active,Headphones,9,15180.0,37.0,Yes,Excellent
EMP0013,Manish Agarwal,25.0,Male,Delhi,Operations,,3.0,2020-07-26 00:00:00,High School,Part-time,On Leave,Keyboard,8,14140.0,34.0,Yes,Poor
EMP0014,Amit Tandon,36.0,Male,Mumbai,Marketing,148987.0,14.0,2022-07-26 00:00:00,Diploma,Intern,Resigned,Monitor,1,44229.0,6.0,Yes,Poor
EMP0015,  Varun Sood ,42.0,Male,Hyderabad,Data Analytics,53644.0,5.0,2020-10-15 00:00:00,12th,Part-time,On Leave,Monitor,4,5040.0,28.0,Yes,Excellent
EMP0016,Yash Chawla,55.0,Male,N/A,Customer Support,28868.0,16.0,2019-01-18 00:00:00,12th,Part-time,Resigned,Laptop,3,24936.0,0.0,No,Average
EMP0017,Mohit Bansal,50.0,Female,Bangalore,HR,99776.0,10.0,2022-09-29 00:00:00,Post Graduate,Full-time,Active,Keyboard,6,3846.0,3.0,No,Good
EMP0018,Akash Srivastava,24.0,Male,MUMBAI,Marketing,158124.0,8.0,2018-11-25 00:00:00,12th,Full-time,Inactive,Headphones,10,2704.0,39.0,Yes,Poor
EMP0019,Harsh Vardhan,58.0,Female,Chennai,,173170.0,11.0,2023-11-12 00:00:00,Post Graduate,Contract,Resigned,Phone,5,30064.0,20.0,Yes,Excellent
EMP0020,Abhishek Joshi,50.0,F,Ahmedabad,HR,172585.0,17.0,2019-02-14 00:00:00,Diploma,Part-time,On Leave,Laptop,4,24317.0,18.0,Yes,Poor
EMP0021,Priya Sharma,55.0,Male,Ahmedabad,IT,104303.0,4.0,2024-11-10 00:00:00,Post Graduate,Contract,Active,Laptop,9,10287.0,17.0,No,Good
EMP0022,Ananya Gupta,42.0,Female,Ahmedabad,Data Analytics,78371.0,9.0,2025-09-16 00:00:00,Graduate,Full-time,Resigned,Software License,5,2989.0,0.0,No,Good
EMP0023,Isha Mehta,37.0,Female,Ahmedabad,customer support,67357.0,18.0,2026-04-25 00:00:00,Graduate,Full-time,Active,Keyboard,3,35855.0,2.0,No,Good
EMP0024,Neha Kapoor,thirty,Female,Pune,Sales,58409.0,12.0,2018-06-21 00:00:00,Post Graduate,Part-time,Active,Tablet,9,26732.0,39.0,Yes,Good
EMP0025,Riya Malhotra,31.0,Male,Bangalore,Operations,71413.0,14.0,2022-08-16 00:00:00,Post Graduate,Contract,Inactive,Software License,2,25170.0,2.0,No,Good
EMP0026,Sneha Bhatia,33.0,Female,Hyderabad,HR,145665.0,1.0,2021-12-03 00:00:00,,Intern,On Leave,Tablet,2,18392.0,22.0,No,Average
EMP0027,Pooja Arora,22.0,Male,Amritsar,IT,55236.0,2.0,2020-12-05 00:00:00,Graduate,Intern,On Leave,Keyboard,6,28699.0,38.0,Yes,Poor
EMP0028,Kavya Khanna,57.0,Male,Kolkata,Sales,74828.0,17.0,2020-11-09 00:00:00,NA,Part-time,On Leave,Monitor,2,43631.0,21.0,No,Excellent
EMP0029,Simran Sethi,40.0,Female,Pune,Customer Support,157939.0,10.0,2021-06-20 00:00:00,High School,Part-time,Inactive,Monitor,7,44488.0,11.0,No,Poor
EMP0030,Shreya Jain,56.0,male,Hyderabad,Customer Support,25106.0,19.0,2021-05-29 00:00:00,High School,Contract,Resigned,Monitor,8,44377.0,13.0,No,Good
EMP0031,Aditi Agarwal,26.0,Female,Mumbai,HR,99392.0,10.0,2023-10-13 00:00:00,Post Graduate,Part-time,Inactive,Laptop,1,16146.0,30.0,Yes,Poor
EMP0032,Nisha Tandon,47.0,Female,Jaipur,Customer Support,175908.0,8.0,,Post Graduate,Full-time,Active,Software License,7,14441.0,11.0,No,Excellent
EMP0033,Meera Sood,56.0,Female,Bangalore,Data Analytics,90325.0,17.0,2019-05-13 00:00:00,High School,Contract,Resigned,Headphones,9,28066.0,35.0,No,Good
EMP0034,  Divya Chawla ,51.0,Male,Chennai,Data Analytics,142983.0,8.0,2020-11-27 00:00:00,Diploma,Intern,Active,Keyboard,5,15467.0,17.0,No,Average
EMP0035,Tanya Bansal,55.0,Male,Hyderabad,Customer Support,46122.0,5.0,2019-07-21 00:00:00,Post Graduate,Full-time,Resigned,Monitor,6,35660.0,29.0,No,Excellent
EMP0036,Muskan Srivastava,5,Male,Amritsar,Customer Support,135138.0,16.0,2022-05-15 00:00:00,Graduate,Contract,On Leave,Software License,7,27560.0,34.0,Yes,Poor
EMP0037,Sakshi Joshi,35.0,Female,Delhi,Customer Support,96548.0,11.0,2022-11-21 00:00:00,12th,Part-time,Resigned,Phone,10,35104.0,1.0,No,Excellent
EMP0038,Radhika Verma,26.0,Female,Bangalore,Sales,137358.0,9.0,2019-07-10 00:00:00,12th,Contract,Inactive,Monitor,6,22218.0,24.0,No,Poor
EMP0039,Nandini Singh,37.0,Male,Ahmedabad,Sales,46471.0,12.0,2023-04-11 00:00:00,Post Graduate,Full-time,Active,Software License,1,16305.0,12.0,Yes,
EMP0040,Pallavi Mehta,36.0,Male,Amritsar,HR,missing,15.0,2023-04-24 00:00:00,Diploma,Contract,Inactive,Headphones,10,49116.0,7.0,Yes,Average
EMP0041,Daniel Smith,27.0,Female,Amritsar,Customer Support,176698.0,13.0,2018-04-16 00:00:00,Post Graduate,Full-time,Inactive,Laptop,5,44943.0,38.0,Yes,Excellent
EMP0042,Michael Johnson,43.0,Female,Mumbai,Operations,164655.0,1.0,2022-10-21 00:00:00,12th,Intern,Active,Monitor,6,41753.0,29.0,Yes,Poor
EMP0043,James Williams,32.0,Female,Amritsar,Data Analytics,161772.0,15.0,2025-04-18 00:00:00,12th,Contract,On Leave,Software License,4,5779.0,17.0,No,Good
EMP0044,Robert Brown,50.0,Female,Pune,Sales,174382.0,16.0,2024-11-04 00:00:00,Diploma,Part-time,Resigned,Phone,6,17031.0,21.0,No,Average
EMP0045,William Jones,56.0,Male,MUMBAI,HR,27661.0,14.0,2023-10-18 00:00:00,12th,Part-time,Resigned,Keyboard,8,29471.0,1.0,Yes,Average
EMP0046,David Miller,35.0,Male,Chennai,Operations,131011.0,16.0,2025-10-04 00:00:00,High School,Contract,Resigned,Keyboard,9,,22.0,No,Average
EMP0047,Richard Davis,40.0,Male,Hyderabad,Operations,90903.0,4.0,2020-08-02 00:00:00,High School,Part-time,Inactive,Phone,8,18220.0,37.0,No,Excellent
EMP0048,Joseph Wilson,33.0,female,Bangalore,IT,102659.0,1.0,2020-07-20 00:00:00,High School,Part-time,On Leave,Laptop,1,36364.0,18.0,Yes,Poor
EMP0049,Thomas Moore,27.0,Female,Jaipur,Data Analytics,28215.0,15.0,2024-06-09 00:00:00,Diploma,Part-time,Active,Tablet,8,7576.0,4.0,No,Poor
EMP0050,Charles Taylor,25.0,Male,Bangalore,Finance,176262.0,19.0,2025-01-22 00:00:00,Diploma,Full-time,Inactive,Laptop,9,27374.0,38.0,Yes,Poor
EMP0050,Christopher Anderson,49.0,Female,Chennai,Sales,141056.0,20.0,2021-05-02 00:00:00,Graduate,Part-time,Inactive,Tablet,2,10392.0,15.0,Yes,Excellent
EMP0052,Matthew Thomas,31.0,Female,Amritsar,Data Analytics,25701.0,10.0,2022-08-01 00:00:00,Graduate,Part-time,On Leave,Keyboard,5,46170.0,29.0,Yes,Good
EMP0053,Anthony Jackson,37.0,Male,Kolkata,Marketing,179609.0,18.0,2025-06-01 00:00:00,Post Graduate,Part-time,On Leave,Software License,3,4779.0,3.0,Yes,Average
EMP0054,Mark White,57.0,Male,Jaipur,IT,100657.0,,2022-12-04 00:00:00,Diploma,Intern,Resigned,Laptop,10,2712.0,27.0,No,Average
EMP0055,Steven Harris,22.0,Male,Chennai,Sales,48940.0,6.0,2020-07-26 00:00:00,12th,Intern,On Leave,Phone,10,28666.0,40.0,No,Excellent
EMP0056,Andrew Martin,51.0,Female,Pune,Marketing,116215.0,6.0,2022-07-31 00:00:00,Diploma,Intern,Resigned,Tablet,7,49940.0,35.0,Yes,Poor
EMP0057,  Joshua Thompson ,26.0,Female,Mumbai,Customer Support,107448.0,17.0,2020-10-30 00:00:00,Graduate,Intern,Resigned,Laptop,4,34076.0,23.0,No,Poor
EMP0058,Kevin Garcia,24.0,Male,Chennai,Data Analytics,78361.0,16.0,2020-12-29 00:00:00,Graduate,Full-time,Inactive,Keyboard,3,20465.0,35.0,Yes,Poor
EMP0059,Brian Martinez,26.0,Female,Mumbai,Finance,83903.0,16.0,2019-04-10 00:00:00,Diploma,Contract,Resigned,Software License,8,31047.0,15.0,No,Good
EMP0060,Jason Robinson,45.0,Male,Mumbai,-,74967.0,14.0,2024-09-21 00:00:00,Diploma,Contract,Active,Tablet,5,38565.0,37.0,No,Good
EMP0061,Emily Smith,49.0,Female,Pune,Customer Support,166185.0,15.0,2023-06-07 00:00:00,Diploma,Part-time,Inactive,Headphones,7,15406.0,26.0,Yes,Average
EMP0062,Olivia Johnson,92,Male,Jaipur,Sales,124937.0,5.0,2022-05-01 00:00:00,High School,Contract,Active,Software License,8,6634.0,33.0,No,Excellent
EMP0063,Sophia Williams,30.0,,Mumbai,Data Analytics,132473.0,9.0,2025-05-05 00:00:00,Diploma,Intern,Active,Software License,6,44294.0,34.0,No,Average
EMP0064,Ava Brown,52.0,Male,Hyderabad,IT,166824.0,8.0,2018-05-28 00:00:00,Graduate,Intern,Active,Software License,2,29176.0,10.0,No,Excellent
EMP0065,Isabella Jones,23.0,Female,Pune,operations,110032.0,14.0,2018-08-18 00:00:00,Post Graduate,Part-time,Resigned,Headphones,3,11240.0,11.0,Yes,Poor
EMP0066,Mia Miller,36.0,Male,Hyderabad,Data Analytics,155460.0,9.0,2024-07-16 00:00:00,12th,Contract,Active,Software License,8,18950.0,34.0,Yes,Excellent
EMP0067,Charlotte Davis,49.0,Female,Kolkata,IT,115587.0,15.0,2024-08-03 00:00:00,Diploma,Part-time,Resigned,Software License,8,7089.0,15.0,No,Average
EMP0068,Amelia Wilson,N/A,Female,Delhi,Customer Support,102561.0,9.0,2025-11-04 00:00:00,Graduate,Full-time,Resigned,Software License,5,15181.0,38.0,No,Good
EMP0069,Harper Moore,33.0,Male,Mumbai,Sales,90700.0,10.0,2025-08-08 00:00:00,12th,Full-time,On Leave,Keyboard,3,6006.0,18.0,Y,Poor
EMP0070,Evelyn Taylor,32.0,Female,Ahmedabad,IT,77637.0,6.0,2019-06-26 00:00:00,Diploma,Intern,On Leave,Keyboard,6,7647.0,29.0,Yes,Good
EMP0071,Abigail Anderson,35.0,Female,Mumbai,Customer Support,129179.0,1.0,2024-04-01 00:00:00,Diploma,,Resigned,Tablet,5,38409.0,24.0,No,Excellent
EMP0072,Ella Thomas,35.0,Female,Amritsar,HR,148594.0,3.0,2018-04-13 00:00:00,12th,Contract,Resigned,Laptop,3,3071.0,2.0,No,Poor
EMP0073,Scarlett Jackson,28.0,Male,Kolkata,Data Analytics,50478.0,12.0,2020-08-19 00:00:00,High School,Intern,Inactive,Monitor,2,32169.0,39.0,No,Average
EMP0074,Grace White,23.0,Female,JAIPUR,HR,122132.0,12.0,2020-06-08 00:00:00,Graduate,Contract,On Leave,Laptop,7,18180.0,12.0,Yes,Poor
EMP0075,Chloe Harris,26.0,Male,Delhi,Operations,80602.0,8.0,2025-03-13 00:00:00,Post Graduate,Part-time,Active,Software License,9,13676.0,37.0,Yes,Good
EMP0076,Victoria Martin,42.0,Male,Chennai,Finance,63680.0,5.0,2024-09-07 00:00:00,High School,Contract,Inactive,Laptop,1,8737.0,0.0,No,Good
EMP0077,Riley Thompson,58.0,Male,Chennai,Sales,109874.0,5.0,2018-03-06 00:00:00,12th,Full-time,Active,Monitor,8,23826.0,32.0,Yes,unknown
EMP0078,Aria Garcia,53.0,Male,Ahmedabad,IT,83077.0,15.0,2024-11-24 00:00:00,Graduate,Full-time,Resigned,Software License,7,28036.0,6.0,No,Poor
EMP0079,Lily Martinez,25.0,Male,Mumbai,Finance,46178.0,9.0,2021-08-12 00:00:00,High School,Contract,Resigned,Headphones,9,19426.0,29.0,No,Excellent
EMP0080,Zoey Robinson,28.0,Male,Kolkata,Data Analytics,169529.0,8.0,2026-01-31 00:00:00,12th,Contract,Resigned,Monitor,7,47915.0,75,No,Poor
EMP0081,Emma Clark,41.0,Male,Jaipur,Marketing,91817.0,3.0,2022-03-14 00:00:00,Graduate,Full-time,Resigned,Laptop,6,8627.0,35.0,Yes,Average
EMP0082,Noah Lewis,28.0,Female,Delhi,IT,132691.0,20.0,2021-12-19 00:00:00,Diploma,Contract,Active,Headphones,9,14042.0,9.0,No,Good
EMP0083,Liam Walker,27.0,Female,Mumbai,IT,116780.0,19.0,2024-03-28 00:00:00,Post Graduate,Intern,Active,,5,1997.0,11.0,No,Average
EMP0084,Mason Hall,42.0,Male,Bangalore,Customer Support,117018.0,3.0,2018-01-26 00:00:00,Post Graduate,Full-time,Active,Keyboard,9,14198.0,24.0,No,Poor
EMP0085,Ethan Allen,42.0,Female,Pune,Marketing,66263.0,2.0,2022-02-24 00:00:00,Post Graduate,Part-time,Active,Keyboard,2,17932.0,28.0,N,Poor
EMP0086,Lucas Young,49.0,Male,Ahmedabad,Marketing,133575.0,12.0,2021-01-23 00:00:00,12th,Full-time,On Leave,Keyboard,10,31991.0,33.0,No,Excellent
